date,strategy,benchmark
2019-10-02,1029158.1561441172,261123.182117157
2019-10-03,1043556.9972522991,263195.8292843903
2019-10-04,1065515.272854208,266847.60751237837
2019-10-07,1053996.1999676623,265702.71640933526
2019-10-08,1054356.1795777532,261577.18079112424
2019-10-09,1049316.5336955718,264015.00276915694
2019-10-10,1063715.3748037538,265811.2989887588
2019-10-11,1072354.7481277531,268584.68782320165
2019-10-14,1072714.6590787538,268337.9448299595
2019-10-15,1061915.5454123898,270933.6859380665
2019-10-16,1047876.6839142989,270509.26509849424
2019-10-17,1046076.7858638447,271239.6448400873
2019-10-18,1043916.97686239,270124.36169143347
2019-10-21,1067675.0818556626,272009.4817742032
2019-10-22,1034917.69258739,271052.11775562365
2019-10-23,1046436.7654739355,271851.56264412886
2019-10-24,1053276.2407474807,272295.71207996254
2019-10-25,1044636.9360825716,273430.7238248778
2019-10-28,1048236.6635243897,275019.73424376035
2019-10-29,1050756.4521359352,274842.0865174246
2019-10-30,1010439.6283739356,275809.329894132
2019-10-31,1011159.5875941172,274921.0310224646
2019-11-01,1014399.3354258444,277536.5308468274
2019-11-04,999640.5147075716,278641.9346373534
2019-11-05,1015119.2946460261,278286.60906468757
2019-11-06,1006479.9213220266,278434.64883663406
2019-11-07,1000720.3848787539,279421.62080960284
2019-11-08,1002160.3033191172,280102.63388055086
2019-11-11,1007683.4867717657,279559.81134341576
2019-11-12,1009800.4210846964,280112.51323867874
2019-11-13,1011518.4827259368,280230.94505623594
2019-11-14,1009713.2559680041,280605.99922516313
2019-11-15,1019959.4789484031,282698.37498865795
2019-11-18,1020550.7586329173,282876.0227149937
2019-11-19,1017073.8361676589,282737.8623011751
2019-11-20,1007124.2281293403,281741.0109700784
2019-11-21,996117.3283489676,281306.7408923726
2019-11-22,994377.5759717871,281928.53805454203
2019-11-25,1017302.3519325164,284070.28048868186
2019-11-26,1014036.3516902946,284642.71098020626
2019-11-27,1020872.109551512,285985.0085258409
2019-11-29,1009479.2956765121,284889.4539734485
2019-12-02,996339.5002305511,282570.0638129729
2019-12-03,982364.343025038,280586.2706289017
2019-12-04,996795.3101362556,282382.5367285093
2019-12-05,1002795.4744505294,282905.6607893773
2019-12-06,1017682.1355737556,285422.42727245
2019-12-09,1010846.3777125381,284553.88711703836
2019-12-10,1014871.8293435425,284287.41552753473
2019-12-11,1036594.1324342903,285027.64450726134
2019-12-12,1066367.338787047,287534.5316322063
2019-12-13,1062265.976785273,287643.11421162984
2019-12-16,1070924.5106945252,289676.27406634606
2019-12-17,1077000.7012732644,289735.48997512466
2019-12-18,1073279.007019034,289755.21857138607
2019-12-19,1079507.134233008,290959.32558320777
2019-12-20,1089912.5338195253,292439.783542661
2019-12-23,1079127.3505917687,291314.6511558736
2019-12-24,1081329.9102810426,291314.6511558736
2019-12-26,1084216.1268820253,292804.98847345466
2019-12-27,1080494.4326277948,292804.98847345466
2019-12-30,1072671.3763717904,291196.21933831647
2019-12-31,1074038.5743015122,291946.2975561766
2020-01-02,1098874.8251055512,294532.1894261501
2020-01-03,1080874.216269034,292380.5676338824
2020-01-06,1069329.465758799,293476.12218627485
2020-01-07,1087178.2538537774,292666.7979396418
2020-01-08,1089001.1457955078,294176.8638534843
2020-01-09,1095229.157115786,296210.0237082005
2020-01-10,1086114.9291945251,295361.24226904457
2020-01-13,1101305.3476945253,297315.4274987265
2020-01-14,1103583.9336482643,296920.6447335378
2020-01-15,1087254.1642245469,297581.9292082244
2020-01-16,1104799.1949427514,300069.0877369079
2020-01-17,1109356.250956534,301085.66766426596
2020-01-21,1112636.0835193226,300463.87050209654
2020-01-22,1120125.7788721255,300542.84512713086
2020-01-23,1128599.9550941074,300838.9246710238
2020-01-24,1116616.324979668,298095.14379097027
2020-01-27,1073988.8910939998,293357.69036871765
